"series","date","issue","url","volume","value","is_clean"
"north_carolina_6pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,96,0
"ohio_6pct_1874","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,112,0
"pennsylvania_6pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,83,0
"US_6pct_1868","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,118.25,0
"virginia_6pct","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495",10,96.5,0
"california_7pct_1870","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84.5,0
"georgia_6pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,98,0
"indiana_5pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,81.5,0
"kentucky_6pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,100,0
"louisiana_6pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,85,0
"missouri_6pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84.75,0
"north_carolina_6pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,94,0
"ohio_6pct_1874","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,110.5,0
"pennsylvania_6pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84.25,0
"US_6pct_1868","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,116.5,0
"virginia_6pct","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,93,0
"california_7pct_1870","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84.25,0
"georgia_6pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,98,0
"indiana_5pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,81.75,0
"kentucky_6pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,100,0
"louisiana_6pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,86,0
"missouri_6pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84.5,0
"north_carolina_6pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,95,0
"ohio_6pct_1874","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,109,0
"pennsylvania_6pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,82.25,0
"US_6pct_1868","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,116.5,0
"virginia_6pct","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,93,0
"california_7pct_1870","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,84,0
"georgia_6pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,97,0
"indiana_5pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,82.5,0
